BTW_BUND 17;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Madgeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
;
24;Aurich – Emden;3;190987;190987;190987;190987;134256;134256;134256;134256;2217;2217;2103;1724;132039;132039;132153;132532;42737;42737;43026;43026;66348;66348;58080;58080;6373;6373;6588;6588;12627;12627;11028;11028;;;;;2085;2085;4323;4323;;;4136;4136;0;0;1900;1900;;;1259;1259;1869;1869;713;713;;;1065;1065;;;0;0;;;0;0;;;;;;;;;;;;;;;35;35;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;379;
25;Unterems;3;232784;232784;232784;232784;166959;166959;166959;166959;6159;2096;2182;1645;160800;164863;164777;165314;90236;90236;80616;80616;51409;51409;51079;51079;6426;6426;6771;6771;8441;8441;9506;9506;;;;;4288;4288;6537;6537;0;0;4870;4870;;;2218;2218;;;1339;1339;;;747;747;;;1070;1070;;;0;0;0;0;0;0;;;;;;;;;;;;;;;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4063;;537;
26;Friesland – Wilhelmshaven – Wittmund;3;190034;190034;190034;190034;134162;134162;134162;134162;4049;2369;2078;1760;130113;131793;132084;132402;52275;52275;50796;50796;58178;58178;48011;48011;6736;6736;6814;6814;7362;7362;9731;9731;;;;;3024;3024;5670;5670;0;0;5479;5479;;;2007;2007;;;1206;1206;2538;2538;1106;1106;;;1194;1194;;;0;0;0;0;0;0;;;;;;;;;;;;;0;0;70;70;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1680;;318;
27;Oldenburg – Ammerland;3;220409;220409;220409;220409;163543;163543;163543;163543;5510;1748;1688;1402;158033;161795;161855;162141;59525;59525;57067;57067;60547;60547;52856;52856;8794;8794;10523;10523;18552;18552;20170;20170;;;;;3966;3966;8210;8210;5502;5502;6833;6833;;;2853;2853;;;1050;1050;1147;1147;923;923;;;1308;1308;0;0;0;0;;;0;0;;;;;;;;;;;;;;;62;62;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3762;;286;
28;Delmenhorst – Wesermarsch – Oldenburg-Land;3;227719;227719;227719;227719;162698;162698;162698;162698;6699;2059;2271;1911;155999;160639;160427;160787;63832;63832;62620;62620;63256;63256;54848;54848;7273;7273;8814;8814;9784;9784;13059;13059;;;;;5263;5263;8035;8035;5292;5292;6359;6359;;;2577;2577;;;1612;1612;1299;1299;1072;1072;;;1390;1390;;;0;0;;;0;0;;;;;;;;;;;;;;;41;41;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4640;;360;
29;Cuxhaven – Stade II;3;187640;187640;187640;187640;137151;137151;137151;137151;5189;1490;1468;1184;131962;135661;135683;135967;63431;63431;59699;59699;49395;49395;45534;45534;4904;4904;6241;6241;8326;8326;9592;9592;;;;;1872;1872;4924;4924;4034;4034;4753;4753;;;1968;1968;;;1270;1270;0;0;586;586;;;1074;1074;;;0;0;;;0;0;;;;;;;;;;;;;;;42;42;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3699;;284;
30;Stade I – Rotenburg II;3;194958;194958;194958;194958;145131;145131;145131;145131;3376;1161;1228;947;141755;143970;143903;144184;68545;68545;64472;64472;49111;49111;44598;44598;4878;4878;6021;6021;9099;9099;11209;11209;;;;;2505;2505;6023;6023;5632;5632;6531;6531;1985;1985;2131;2131;;;1302;1302;;;620;620;;;979;979;;;0;0;;;0;0;;;;;;;;;;;;;;;17;17;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2215;;281;
31;Mittelems;3;228051;228051;228051;228051;170444;170444;170444;170444;2450;1571;1504;1206;167994;168873;168940;169238;99705;99705;94923;94923;48903;48903;44069;44069;4543;4543;5107;5107;8393;8393;9160;9160;;;;;2673;2673;7032;7032;3777;3777;4331;4331;;;2456;2456;;;790;790;;;285;285;;;767;767;;;0;0;0;0;0;0;;;;;;;;;;;;;;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;879;;298;
32;Cloppenburg – Vechta;3;216300;216300;216300;216300;153769;153769;153769;153769;3308;1416;1610;1205;150461;152353;152159;152564;101015;101015;96401;96401;32422;32422;30168;30168;3821;3821;4259;4259;5702;5702;6488;6488;;;;;2812;2812;7073;7073;3238;3238;3576;3576;;;1816;1816;;;877;877;1451;1451;799;799;;;681;681;;;0;0;;;0;0;;;;;;;;;;;;;;;21;21;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1892;;405;
33;Diepholz – Nienburg I;3;193097;193097;193097;193097;142350;142350;142350;142350;6469;1496;1623;1215;135881;140854;140727;141135;66862;66862;61404;61404;47067;47067;44431;44431;4933;4933;6359;6359;10651;10651;11556;11556;;;;;2797;2797;6929;6929;3571;3571;4840;4840;;;2143;2143;;;1175;1175;;;673;673;;;1196;1196;;;0;0;;;0;0;;;;;;;;;;;;;;;21;21;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4973;;408;
34;Osterholz – Verden;3;193643;193643;193643;193643;144923;144923;144923;144923;5307;1502;2153;1708;139616;143421;142770;143215;63174;63174;57243;57243;53660;53660;47413;47413;7195;7195;8008;8008;9729;9729;13708;13708;;;;;1359;1359;5235;5235;4499;4499;5487;5487;;;2655;2655;;;1321;1321;0;0;392;392;;;1250;1250;;;0;0;;;0;0;;;;;;;;;;;;;;;58;58;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3805;;445;
35;Rotenburg I – Heidekreis;3;167867;167867;167867;167867;122823;122823;122823;122823;4809;1317;1379;994;118014;121506;121444;121829;54448;54448;53163;53163;49301;49301;38018;38018;4758;4758;5572;5572;6026;6026;10332;10332;;;;;2097;2097;4930;4930;0;0;4586;4586;;;1722;1722;;;1275;1275;1384;1384;796;796;;;1028;1028;;;0;0;;;0;0;;;;;;;;;;;;;;;22;22;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3492;;385;
36;Harburg;3;194856;194856;194856;194856;152819;152819;152819;152819;4904;1416;1593;1219;147915;151403;151226;151600;68458;68458;64905;64905;47908;47908;42915;42915;5472;5472;6641;6641;10754;10754;14078;14078;;;;;5110;5110;7382;7382;8704;8704;9069;9069;;;2499;2499;;;1193;1193;1509;1509;1145;1145;;;1366;1366;;;0;0;;;0;0;;;;;;;;;;;;;;;33;33;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3488;;374;
37;Lüchow-Dannenberg – Lüneburg;3;179069;179069;179069;179069;133574;133574;133574;133574;5700;1375;1518;1158;127874;132199;132056;132416;52644;52644;48756;48756;44491;44491;38415;38415;7784;7784;9202;9202;15918;15918;18892;18892;;;;;2112;2112;5281;5281;4925;4925;5852;5852;;;3000;3000;;;1145;1145;;;402;402;;;1081;1081;;;0;0;;;0;0;;;;;;;;;;;;;;;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4325;;360;
38;Osnabrück-Land;3;197532;197532;197532;197532;144853;144853;144853;144853;6271;1390;1721;1120;138582;143463;143132;143733;76179;76179;68972;68972;46365;46365;42214;42214;5162;5162;5783;5783;8330;8330;11046;11046;;;;;2546;2546;6599;6599;0;0;4060;4060;;;2188;2188;;;968;968;;;478;478;;;801;801;;;0;0;;;0;0;;;;;;;;;;;;;;;23;23;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4881;;601;
39;Stadt Osnabrück;3;194231;194231;194231;194231;142840;142840;142840;142840;7023;1919;2004;1641;135817;140921;140836;141199;64416;64416;60754;60754;49059;49059;43099;43099;5840;5840;7188;7188;12568;12568;15390;15390;;;;;3934;3934;5874;5874;;;3765;3765;;;2794;2794;;;652;652;;;472;472;;;815;815;;;0;0;;;0;0;;;;;;;;;;;;;;;33;33;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5104;;363;
40;Nienburg II – Schaumburg;3;195948;195948;195948;195948;141773;141773;141773;141773;3318;1464;1638;1156;138455;140309;140135;140617;58349;58349;56279;56279;62641;62641;51043;51043;4649;4649;6006;6006;8173;8173;11370;11370;;;;;1950;1950;4993;4993;0;0;5514;5514;2693;2693;2108;2108;;;1216;1216;;;436;436;;;1129;1129;;;0;0;;;0;0;;;;;;;;;;;;;;;41;41;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1854;;482;
41;Stadt Hannover I;3;181122;181122;181122;181122;129867;129867;129867;129867;1888;1888;2295;1868;127979;127979;127572;127999;46650;46650;42910;42910;55711;55711;45441;45441;6435;6435;7993;7993;9876;9876;15718;15718;;;;;1889;1889;6043;6043;4051;4051;4654;4654;2434;2434;2434;2434;;;808;808;790;790;505;505;;;988;988;;;0;0;0;0;0;0;;;;;;;;;;;;;143;143;78;78;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;427;
42;Stadt Hannover II;3;193157;193157;193157;193157;141215;141215;141215;141215;2674;1871;2306;1925;138541;139344;138909;139290;47180;47180;41684;41684;59686;59686;48292;48292;8657;8657;11129;11129;14229;14229;21559;21559;;;;;2050;2050;5983;5983;3802;3802;4749;4749;2937;2937;3113;3113;;;736;736;;;398;398;;;1171;1171;;;0;0;0;0;0;0;;;;;;;;;;;;;0;0;95;95;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;803;;381;
43;Hannover-Land I;3;232941;232941;232941;232941;176671;176671;176671;176671;5761;1658;2138;1530;170910;175013;174533;175141;77509;77509;72286;72286;67440;67440;57922;57922;6220;6220;7931;7931;8735;8735;14308;14308;;;;;4504;4504;8725;8725;5393;5393;7038;7038;;;2516;2516;;;1487;1487;1109;1109;937;937;;;1346;1346;;;0;0;;;0;0;;;;;;;;;;;;;;;37;37;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4103;;608;
44;Celle – Uelzen;3;215285;215285;215285;215285;157058;157058;157058;157058;3239;1562;1837;1361;153819;155496;155221;155697;75369;75369;68568;68568;53237;53237;46931;46931;5655;5655;7085;7085;9563;9563;12071;12071;;;;;2091;2091;6478;6478;6591;6591;7722;7722;;;2673;2673;;;1511;1511;1313;1313;982;982;;;1173;1173;;;0;0;;;0;0;;;;;;;;;;;;;;;27;27;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1677;;476;
45;Gifhorn – Peine;3;217256;217256;217256;217256;161941;161941;161941;161941;8572;1788;2435;1473;153369;160153;159506;160468;67368;67368;64451;64451;69259;69259;57875;57875;6810;6810;7575;7575;7666;7666;11855;11855;;;;;2266;2266;5648;5648;0;0;5786;5786;;;2833;2833;;;1524;1524;;;671;671;;;1242;1242;;;0;0;;;0;0;;;;;;;;;;;;;0;0;46;46;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6784;;962;
46;Hameln-Pyrmont – Holzminden;3;191980;191980;191980;191980;137839;137839;137839;137839;2075;2075;2382;1943;135764;135764;135457;135896;53726;53726;50937;50937;57484;57484;49411;49411;6308;6308;7201;7201;8202;8202;11428;11428;;;;;2496;2496;5985;5985;4971;4971;5550;5550;2577;2577;2152;2152;;;1271;1271;;;461;461;;;1031;1031;;;0;0;;;0;0;;;;;;;;;;;;;;;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;439;
47;Hannover-Land II;3;240409;240409;240409;240409;182963;182963;182963;182963;4314;2067;2321;1672;178649;180896;180642;181291;75761;75761;69644;69644;78433;78433;65169;65169;7350;7350;8669;8669;9422;9422;16212;16212;;;;;2567;2567;7228;7228;0;0;6958;6958;3144;3144;2737;2737;;;1499;1499;1972;1972;1044;1044;;;1429;1429;;;0;0;;;0;0;;;;;;;;;;;;;;;53;53;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2247;;649;
48;Hildesheim;3;219571;219571;219571;219571;164796;164796;164796;164796;4988;2451;2426;1799;159808;162345;162370;162997;68653;68653;63041;63041;66986;66986;59319;59319;7909;7909;8120;8120;13771;13771;14587;14587;;;;;2489;2489;5589;5589;0;0;5601;5601;;;2937;2937;;;1482;1482;;;455;455;;;1208;1208;;;0;0;;;0;0;;;;;;;;;;;;;;;31;31;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2537;;627;
49;Salzgitter – Wolfenbüttel;3;208990;208990;208990;208990;152599;152599;152599;152599;5396;2208;3176;2618;147203;150391;149423;149981;55720;55720;53593;53593;70080;70080;58881;58881;6524;6524;8461;8461;6630;6630;11013;11013;;;;;1582;1582;5142;5142;4548;4548;5938;5938;2119;2119;2228;2228;;;1796;1796;;;1046;1046;;;1286;1286;;;0;0;;;0;0;;;;;;;;;;;;;;;39;39;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3188;;558;
50;Braunschweig;3;193799;193799;193799;193799;143752;143752;143752;143752;7601;1649;1819;1467;136151;142103;141933;142285;49710;49710;48419;48419;61952;61952;47741;47741;7119;7119;9527;9527;10117;10117;17614;17614;;;;;3243;3243;6214;6214;3894;3894;5092;5092;;;4169;4169;;;1038;1038;;;724;724;;;1295;1295;;;0;0;;;0;0;;;;;;;;;;;;;116;116;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5952;;352;
51;Helmstedt – Wolfsburg;3;187425;187425;187425;187425;133269;133269;133269;133269;9447;1927;1949;1494;123822;131342;131320;131775;58760;58760;54188;54188;50826;50826;45837;45837;5731;5731;6440;6440;6666;6666;9004;9004;;;;;1839;1839;4796;4796;0;0;4892;4892;;;2460;2460;;;1840;1840;;;643;643;;;1182;1182;;;0;0;;;0;0;;;;;;;;;;;;;0;0;38;38;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7520;;455;
52;Goslar – Northeim – Osterode;3;208311;208311;208311;208311;149429;149429;149429;149429;8610;2599;2633;2165;140819;146830;146796;147264;61723;61723;55775;55775;62209;62209;55985;55985;6805;6805;7475;7475;7833;7833;10141;10141;;;;;2249;2249;6099;6099;0;0;5733;5733;;;2141;2141;;;1493;1493;;;835;835;;;1086;1086;;;0;0;;;0;0;;;;;;;;;;;;;;;33;33;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6011;;468;
53;Göttingen;3;222102;222102;222102;222102;165814;165814;165814;165814;3704;1974;1983;1511;162110;163840;163831;164303;62558;62558;59000;59000;66192;66192;54410;54410;8581;8581;10432;10432;16740;16740;20076;20076;;;;;2633;2633;6667;6667;0;0;6121;6121;3219;3219;3173;3173;;;1280;1280;2187;2187;1427;1427;;;1178;1178;;;0;0;0;0;0;0;;;;;;;;;;;;;0;0;67;67;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1730;;472;
3;Niedersachsen;99;6117473;6117473;6117473;6117473;4491281;4491281;4491281;4491281;151027;53723;59461;46021;4340254;4437558;4431820;4445260;1946518;1946518;1825592;1825592;1699556;1699556;1470005;1470005;189645;189645;223935;223935;299885;299885;391901;391901;;;;;82291;82291;185647;185647;82424;82424;165875;165875;21108;60736;74601;74601;;;37415;37415;18568;29234;21773;21773;;;33809;33809;0;0;0;0;0;0;0;0;;;;;;;;;;;;;259;259;1267;1267;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47010;;13440;
;
54;Bremen I;4;256547;256547;256547;256547;184512;184512;184512;184512;8380;2128;3775;1816;176132;182384;180737;182696;55198;55198;55254;55254;69161;69161;60502;60502;15186;15186;18502;18502;25342;25342;25448;25448;;;;;4171;4171;7168;7168;5336;5336;6263;6263;;;4756;4756;;;1400;1400;;;398;398;;;;;;;;;1531;1531;959;959;;;;;;;;;;;;;207;207;87;87;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6252;;1959;
55;Bremen II – Bremerhaven;4;227276;227276;227276;227276;148510;148510;148510;148510;6497;2083;4161;1794;142013;146427;144349;146716;42067;42067;41205;41205;64276;64276;56702;56702;13335;13335;14782;14782;12325;12325;14566;14566;;;;;2189;2189;4036;4036;5428;5428;6044;6044;;;3699;3699;2393;2393;2240;2240;0;0;416;416;;;;;;;;;0;0;590;590;;;;;;;;;;;;;0;0;69;69;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4414;;2367;
4;Bremen;99;483823;483823;483823;483823;333022;333022;333022;333022;14877;4211;7936;3610;318145;328811;325086;329412;97265;97265;96459;96459;133437;133437;117204;117204;28521;28521;33284;33284;37667;37667;40014;40014;;;;;6360;6360;11204;11204;10764;10764;12307;12307;;;8455;8455;2393;3796;3640;3640;0;0;814;814;;;;;;;;;1531;1531;1549;1549;;;;;;;;;;;;;207;207;156;156;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9263;;4326;
;
56;Prignitz – Ostprignitz-Ruppin – Havelland I;12;180670;180670;180670;180670;114988;114988;114988;114988;12321;2406;4639;1897;102667;112582;110349;113091;37520;37520;40787;40787;33293;33293;28483;28483;27179;27179;25496;25496;3123;3123;3925;3925;;;;;1454;1454;2526;2526;0;0;5400;5400;;;;;;;2781;2781;98;98;856;856;;;0;0;;;0;0;0;0;0;0;;;;;;;;;;;;;0;0;95;95;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9915;;2742;
57;Uckermark – Barnim I;12;188083;188083;188083;188083;120636;120636;120636;120636;9411;2272;5062;2053;111225;118364;115574;118583;45206;45206;43017;43017;27042;27042;26578;26578;32168;32168;28513;28513;3561;3561;4516;4516;;;;;1771;1771;2519;2519;0;0;6075;6075;;;;;;;3125;3125;1477;1477;1113;1113;;;0;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;118;118;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7139;;3009;
58;Oberhavel – Havelland II;12;236545;236545;236545;236545;168983;168983;168983;168983;9781;3454;7450;2683;159202;165529;161533;166300;62537;62537;60586;60586;46164;46164;39392;39392;32085;32085;30178;30178;8241;8241;9558;9558;;;;;2473;2473;4965;4965;0;0;11225;11225;5035;5035;;;;;3959;3959;2383;2383;1513;1513;;;0;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;157;157;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;284;284;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6327;;4767;
59;Märkisch-Oderland – Barnim II;12;223734;223734;223734;223734;155091;155091;155091;155091;13806;3529;7991;3432;141285;151562;147100;151659;51398;51398;48700;48700;30938;30938;33220;33220;49896;49896;40055;40055;5140;5140;6277;6277;;;;;1681;1681;3366;3366;0;0;9682;9682;;;;;;;3753;3753;2232;2232;1899;1899;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;148;148;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10277;;4559;
60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;12;187129;187129;187129;187129;121487;121487;121487;121487;6805;2389;5117;2164;114682;119098;116370;119323;39112;39112;40620;40620;39596;39596;31368;31368;28275;28275;27318;27318;2888;2888;4488;4488;;;;;1849;1849;2707;2707;0;0;5778;5778;2962;2962;;;;;3049;3049;0;0;913;913;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;129;129;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4416;;2953;
61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;12;238626;238626;238626;238626;177548;177548;177548;177548;8457;3004;7725;2257;169091;174544;169823;175291;56236;56236;54471;54471;56428;56428;43710;43710;35443;35443;36805;36805;12655;12655;15939;15939;;;;;3036;3036;5642;5642;0;0;10000;10000;5293;5293;;;;;1987;1987;0;0;1007;1007;;;0;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;262;262;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5453;;5468;
