BTW_BUND 17;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Madgeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
9;Ostholstein – Stormarn-Nord;1;180022;180022;180022;180022;131939;131939;131939;131939;4334;1551;4969;1452;127605;130388;126970;130487;59783;59783;53705;53705;48349;48349;41134;41134;4469;4469;5663;5663;7145;7145;10490;10490;;;;;2962;2962;8036;8036;4897;4897;6471;6471;;;;;;;737;737;0;0;709;709;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;2783;;3517;
10;Herzogtum Lauenburg – Stormarn-Süd;1;241257;241257;241257;241257;182982;182982;182982;182982;6419;1708;6610;1560;176563;181274;176372;181422;81954;81954;73603;73603;62749;62749;53944;53944;6834;6834;8962;8962;12774;12774;16579;16579;;;;;3901;3901;10878;10878;8351;8351;10210;10210;;;;;;;1377;1377;0;0;776;776;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;43;43;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4711;;5050;
11;Lübeck;1;181923;181923;181923;181923;124711;124711;124711;124711;11998;1563;5774;1440;112713;123148;118937;123271;44896;44896;42218;42218;50119;50119;42083;42083;;;7970;7970;9475;9475;13638;13638;;;;;2958;2958;5857;5857;4152;4152;5323;5323;;;;;;;974;974;1113;1113;781;781;;;;;;;0;0;;;0;0;;;;;;;;;;;;;0;0;93;93;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10435;;4334;
1;Schleswig-Holstein;99;2251796;2251796;2251796;2251796;1645750;1645750;1645750;1645750;69839;18752;69398;17460;1575911;1626998;1576352;1628290;708702;708702;638756;638756;596882;596882;513725;513725;59521;66183;84177;84177;111921;111921;153137;153137;;;;;37526;37526;91714;91714;58681;58681;74346;74346;;;;;;;11229;11229;2678;2678;8747;8747;;;;;;;0;0;0;0;0;0;;;;;;;;;;;;;0;0;521;521;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;44425;;51938;
;
12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13;219903;219903;219903;219903;148470;148470;148470;148470;6066;2505;5030;2133;142404;145965;143440;146337;56912;56912;59028;59028;37832;37832;31543;31543;32373;32373;29838;29838;5194;5194;6526;6526;;;;;2253;2253;3298;3298;0;0;7729;7729;;;;;4923;4923;3918;3918;2917;2917;1396;1396;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;0;0;164;164;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3561;;2897;
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13;209239;209239;209239;209239;137315;137315;137315;137315;5329;2360;4496;1988;131986;134955;132819;135327;57971;57971;56975;56975;30743;30743;26664;26664;30843;30843;28834;28834;4652;4652;5460;5460;;;;;2127;2127;3011;3011;0;0;7145;7145;;;;;4249;4249;3469;3469;1401;1401;1108;1108;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;153;153;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2969;;2508;
14;Rostock – Landkreis Rostock II;13;223885;223885;223885;223885;152820;152820;152820;152820;11749;2669;5964;2046;141071;150151;146856;150774;52661;52661;57188;57188;27498;27498;29010;29010;46160;46160;35792;35792;11216;11216;9874;9874;;;;;1606;1606;2911;2911;0;0;8196;8196;;;;;;;2484;2484;1385;1385;1109;1109;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;545;545;292;292;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9080;;3918;
15;Vorpommern-Rügen – Vorpommern-Greifswald I;13;244880;244880;244880;244880;157402;157402;157402;157402;7595;2467;6409;2426;149807;154935;150993;154976;87142;87142;69683;69683;21688;21688;22630;22630;29847;29847;31930;31930;4728;4728;7372;7372;;;;;1227;1227;4067;4067;0;0;10159;10159;;;;;3970;3970;3525;3525;1205;1205;1466;1466;0;0;0;0;;;0;0;;;0;0;;;;;;;;;;;;;0;0;161;161;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5128;;3983;
16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;13;234110;234110;234110;234110;148874;148874;148874;148874;6603;2778;5635;2514;142271;146096;143239;146360;67069;67069;65767;65767;22870;22870;21603;21603;34972;34972;31658;31658;3359;3359;4010;4010;;;;;2695;2695;2910;2910;0;0;8850;8850;;;;;8525;8525;6755;6755;2781;2781;1523;1523;;;0;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;163;163;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3825;;3121;
